,Study,dip_hym_cooks,hym_col_cooks,dip_col_cooks,hemi_col_cooks,col_lep_cooks,hym_hemi_cooks,hym_lep_cooks,dip_hemi_cooks,dip_lep_cooks,hemi_lep_cooks
1.0000,CC1_2005__Barratt 1,0.0001,0.0004,0.0002,0.0006,0.0003,0.0001,0.0004,0.0002,0.0004,0.0001
2.0000,CC1_2005__Barratt 2,0.0001,0.0004,0.0002,0.0006,0.0003,0.0001,0.0004,0.0002,0.0004,0.0001
3.0000,SS1_2015__Ponge 1,0.0010,0.0023,0.0026,0.0768,0.0660,0.0192,0.0029,0.0128,0.0096,0.0129
4.0000,LC1_2020__Ma 1,0.0012,0.0007,0.0003,0.0002,0.0003,0.0004,0.0012,0.0001,0.0002,0.0002
5.0000,AD1_2010__Quintero 1,0.0013,0.0040,0.0007,,0.0014,,0.0345,,0.0030,
6.0000,LC1_2014__Ge 1,0.0017,0.0011,0.0002,0.0087,0.0014,0.0011,0.0009,0.0006,0.0012,0.0026
7.0000,LC1_2020__Zhang 1,0.0019,0.0011,0.0005,0.0006,0.0014,0.0009,0.0032,0.0001,0.0022,0.0028
8.0000,LC1_2021__Zang 1,0.0025,0.0042,0.0004,0.0332,0.0043,0.0067,0.0045,0.0058,0.0044,0.0082
9.0000,LC1_2020__Huang 1,0.0026,0.0061,0.0023,0.0395,0.0054,0.0033,0.0037,0.0027,0.0056,0.0078
10.0000,LC1_2019__Luan 1,0.0032,0.0040,0.0057,0.0149,0.0059,0.0028,0.0100,0.0073,0.0286,0.0280
11.0000,VB1_2005__Eggleton 1,0.0041,0.0145,0.0158,0.0256,0.0131,0.0107,0.0088,0.0071,0.0034,0.0053
12.0000,CM2_2009__SilvaMoco 1,0.0054,0.0011,0.0011,0.0027,,0.0037,,0.0006,,
13.0000,CM2_2009__SilvaMoco 2,0.0054,0.0011,0.0011,0.0007,,0.0017,,0.0004,,
14.0000,VB1_2008a_Smith 1,0.0061,0.0136,0.0138,0.0193,0.0135,0.0047,0.0032,0.0088,0.0064,0.0105
15.0000,AD1_2008__Kohler 3,0.0065,,,,,,,,,
16.0000,AD1_2008__Kohler 2,0.0065,,,,,,,,,
17.0000,DI1_2012__Muchane 1,0.0066,0.0212,0.0373,,0.0218,,0.1328,,0.0255,
18.0000,LC1_2021__Ge 1,0.0070,0.0132,0.0314,0.0409,0.0042,0.0200,0.0029,0.0724,0.0652,0.0149
19.0000,LC1_2020__Zheng 1,0.0083,0.0053,0.0002,,0.0002,,0.0074,,0.0013,
20.0000,AD1_2011__Blake 2,0.0085,,,,,,,,,
21.0000,SC1_2005__Richardson 1,0.0089,0.1069,0.0625,0.1496,0.0202,0.0228,0.0099,0.0391,0.0309,0.0019
22.0000,SJ2_2016__Fleurance 2,0.0099,0.2983,0.1735,0.2804,,0.0021,,0.0039,,
23.0000,SJ2_2016__Fleurance 3,0.0099,0.2983,0.1735,0.2789,,0.0021,,0.0039,,
24.0000,SJ2_2016__Fleurance 4,0.0099,0.2984,0.1735,0.2806,,0.0021,,0.0039,,
25.0000,AD1_2013__Grass 1,0.0103,0.0007,0.0009,,0.0052,,0.0474,,0.0368,
26.0000,VB1_2012__Carpenter 4,0.0110,0.0064,0.0022,0.0059,0.0021,0.0246,0.0026,0.0051,0.0063,0.0033
27.0000,AD1_2008__Kohler 4,0.0112,,,,,,,,,
28.0000,VB1_2005__Eggleton 2,0.0116,0.0133,0.0153,0.0186,0.0087,0.0197,0.0124,0.0195,0.0094,0.0133
29.0000,CC1_2010__Schon 2,0.0118,0.0091,0.0047,0.0770,,0.0153,,0.0028,,
30.0000,AD1_2011__Blake 1,0.0125,,,,,,,,,
31.0000,AD1_2002__Vazquez 1,0.0131,0.1473,0.0993,0.0889,0.0082,0.0998,0.0846,0.0835,0.1304,0.0270
32.0000,DG1_2012__Ge 1,0.0133,0.0013,0.0175,0.0129,0.0042,0.0014,0.0094,0.0250,0.0241,0.0113
33.0000,MH1_2009__Turner 1,0.0151,0.0060,0.0018,0.0030,0.0038,0.0279,0.0034,0.0044,0.0065,0.0027
34.0000,LH2_2015__Cusser 1,0.0169,,,,,,0.0189,,0.0783,
35.0000,LC1_2015__Yang 1,0.0215,0.0059,0.1299,,0.0029,,0.0474,,0.0118,
36.0000,VB1_2012__Carpenter 1,0.0274,0.0142,0.0036,0.0105,0.0038,0.0741,0.0070,0.0120,0.0064,0.0074
37.0000,CC1_2012__Waite 2,0.0325,0.0538,0.4825,0.0351,0.0528,0.1439,0.6269,0.7501,1.1882,0.0608
38.0000,VB1_2015__Mumme 1,0.0380,0.0221,0.0681,0.0093,0.0706,0.0545,0.0318,0.0572,0.3426,0.0771
39.0000,LC1_2015__Su 1,0.0413,0.0083,0.0156,0.0053,0.0410,0.0499,0.3693,0.1745,1.2562,0.2044
40.0000,DI1_2013__Rousseau 1,0.0426,0.0465,0.4335,0.3162,1.9408,0.0073,0.0377,0.1126,0.1800,0.0378
41.0000,VB1_2012__Carpenter 6,0.0440,0.0261,0.0091,0.0234,0.0080,0.1024,0.0050,0.0210,0.0270,0.0141
42.0000,SE2_2010__Gaigher 1,0.0508,0.0452,0.0023,0.0045,,0.0613,,0.0020,,
43.0000,GP1_2009__Vasconcelos 2,0.0509,0.0255,0.0029,0.0038,,0.1502,,0.0316,,
44.0000,CC1_2012__Waite 3,0.0603,0.1279,0.0423,0.0507,,0.0756,,0.0028,,
45.0000,AD1_2011b_Hanley 1,0.0642,0.1134,0.2112,0.2876,0.1721,0.1681,0.0763,0.1894,0.0758,0.1878
46.0000,AD2_2018__Salles 2,0.0712,0.2421,0.1670,0.4296,,1.8900,,0.1474,,
47.0000,VB1_2009__Boutin 1,0.1004,0.0029,0.0059,0.0118,0.0052,0.0487,0.0213,0.0088,0.0427,0.0202
48.0000,VB1_2009__Boutin 2,0.1004,0.0029,0.0059,0.0118,0.0088,0.0487,0.0394,0.0088,0.0331,0.0756
49.0000,AD1_2008__Kohler 1,0.1008,,,,,,,,,
50.0000,AR1_2008__Basset 1,0.1056,0.1602,0.4252,0.2299,1.1150,0.1056,0.1892,0.1838,0.2171,0.2628
51.0000,VB1_2009__Boutin 3,0.1060,0.0051,0.0059,0.0118,0.0008,0.0545,0.0045,0.0088,0.0087,0.0001
52.0000,CC1_2013__Litchwark 1,0.1183,0.3815,0.3743,,0.0918,,0.1086,,0.2734,
53.0000,AD1_2011__Bates 1,0.1503,,,,,,,,,
54.0000,VB1_2012__Carpenter 2,0.1675,0.1415,0.2652,0.7838,6.5960,0.1292,0.0213,0.0419,0.0817,0.0660
55.0000,AD1_2009__Vergara 1,0.2394,0.2554,0.0811,,,,,,,
56.0000,CC1_2014__Rader 1,0.2520,0.5279,0.6894,,,,,,,
57.0000,SE1_2012__Poveda 1,0.2530,0.0071,0.0148,0.0299,0.0012,0.1221,0.0683,0.0225,0.0006,0.0317
58.0000,SE1_2012__Poveda 2,0.2530,0.0071,0.0148,0.0299,0.0187,0.1221,0.0374,0.0225,0.0627,0.2781
59.0000,AD1_2011__Power 1,0.2585,,,,,,0.0204,,0.0734,
60.0000,VB1_2012a_Carpenter 1,0.2882,0.5299,0.8940,1.9763,19.9627,0.1616,0.0773,0.7213,0.1068,0.3102
61.0000,CC1_2012__Waite 1,0.2957,0.1911,0.0159,0.0021,,0.2120,,0.0259,,
62.0000,VB1_2013__Burton 2,0.3704,0.7315,0.7660,1.0618,2.3908,0.1795,0.2157,0.4047,0.7242,0.1802
63.0000,AD1_2002__Kruess 1,0.5020,,,,,,,,,
64.0000,AD1_2011__Schuepp 1,0.5399,2.6747,0.3419,,,,,,,
65.0000,DI1_2013__Rousseau 2,0.7636,1.6185,0.4494,3.3124,19.8426,0.0996,1.1791,1.4811,0.7076,0.3129
66.0000,AD1_2011__Weiner 1,1.2188,0.2964,1.7323,0.7622,0.0229,1.5695,0.3257,2.0815,1.2979,1.0646
67.0000,AD2_2018__Salles 1,1.7186,2.6961,0.0393,0.0441,,6.6184,,0.1292,,
68.0000,AD1_2008__Billeter 6,8.2427,,,,,,,,,
69.0000,LC1_2018__Guo 1,,0.0007,,0.0003,0.0015,0.0001,0.0016,,,0.0038
70.0000,VB1_2006__Smith 2,,0.0170,,,,,,,,
71.0000,SJ2_2019__Eckert 1,,0.0202,,0.0390,,0.0836,,,,
72.0000,VB1_2006__Smith 1,,0.0273,,,,,,,,
73.0000,VB1_2012__LeightonGoodall 1,,0.0296,,,,,,,,
74.0000,SH1_2012__Norfolk 1,,0.0822,,,,,,,,
75.0000,SS1_2011__Lange 1,,0.1135,,0.0955,0.0842,0.6798,0.0522,,,0.0604
76.0000,SJ2_2016__Fleurance 1,,0.2984,,0.2802,,0.0088,,,,
77.0000,TN1_2007__Bouyer 2,,0.6446,,,0.9156,,2.9377,,,
78.0000,TN1_2007__Bouyer 3,,1.3051,,,0.9584,,0.2757,,,
79.0000,TN1_2008__Ngai 1,,,0.0081,,,,,,,
80.0000,CC1_2008__Schon 2,,,0.1100,0.6185,0.0179,,,0.0066,0.0201,0.0045
81.0000,VB1_2015__Burton 1,,,0.5240,,,,,,,
82.0000,HP1_2006__Lachat 1,,,,0.0165,,,,,,
83.0000,AD2_2017__Novais 2,,,,0.0239,,,,,,
84.0000,KS1_2006__Borges 1,,,,0.0454,0.0211,,,,,0.0230
85.0000,SC1_2011__Meijer 1,,,,7.6561,3.9299,,,,,0.7525
86.0000,MG1_2011__Schon 1,,,,,0.0302,,,,,
87.0000,CC1_2008__Schon 1,,,,,0.0462,,,,,
88.0000,LH2_2013__Kambach 2,,,,,3.4730,,,,,
89.0000,HW1_2011__Summerville 1,,,,,52.7811,,,,,
90.0000,AD1_2008__Franzen 1,,,,,,,0.0623,,,
91.0000,AD1_2007__Ockinger 1,,,,,,,0.1831,,,