"","Source_ID","SS","Order","Taxon_name_entered","PrecisionScore"
"1","AD1_2002__Kruess","AD1_2002__Kruess 1","Hymenoptera","Dipogon nitidum",4
"2","AD1_2002__Kruess","AD1_2002__Kruess 1","Diptera","Cacoxennis",3
"3","AD1_2002__Vazquez","AD1_2002__Vazquez 1","Coleoptera","Salpingidae sp",4
"4","AD1_2002__Vazquez","AD1_2002__Vazquez 1","Hymenoptera","Torymidae sp1",4
"5","AD1_2002__Vazquez","AD1_2002__Vazquez 1","Diptera","Acroceridae sp",4
"6","AD1_2002__Vazquez","AD1_2002__Vazquez 1","Hemiptera","Heteroptera",1
"7","AD1_2002__Vazquez","AD1_2002__Vazquez 1","Lepidoptera","Unknown sp37",4
"8","AD1_2007__Ockinger","AD1_2007__Ockinger 1","Hymenoptera","Bombus soroeensis",4
"9","AD1_2007__Ockinger","AD1_2007__Ockinger 1","Lepidoptera","Adscita statices",4
"10","AD1_2008__Billeter","AD1_2008__Billeter 6","Hymenoptera","Andrena bicolor",4
"11","AD1_2008__Billeter","AD1_2008__Billeter 6","Diptera","Eristalis sp.",4
"12","AD1_2008__Franzen","AD1_2008__Franzen 1","Lepidoptera","Adscita statices",4
"13","AD1_2008__Franzen","AD1_2008__Franzen 1","Hymenoptera","Andrena bicolor",4
"14","AD1_2008__Kohler","AD1_2008__Kohler 1","Diptera","Anasimyia lineata",4
"15","AD1_2008__Kohler","AD1_2008__Kohler 1","Hymenoptera","Bombus lapidarius",4
"16","AD1_2008__Kohler","AD1_2008__Kohler 2","Hymenoptera","Bombus hortorum",4
"17","AD1_2008__Kohler","AD1_2008__Kohler 2","Diptera","Chrysotoxum cautum",4
"18","AD1_2008__Kohler","AD1_2008__Kohler 3","Hymenoptera","Andrena angustior",4
"19","AD1_2008__Kohler","AD1_2008__Kohler 3","Diptera","Cheilosia illustrata",4
"20","AD1_2008__Kohler","AD1_2008__Kohler 4","Hymenoptera","Apis mellifera",4
"21","AD1_2008__Kohler","AD1_2008__Kohler 4","Diptera","Chrysotoxum cautum",4
"22","AD1_2009__Vergara","AD1_2009__Vergara 1","Hymenoptera","Apis mellifera",4
"23","AD1_2009__Vergara","AD1_2009__Vergara 1","Diptera","Syrph 1",4
"24","AD1_2009__Vergara","AD1_2009__Vergara 1","Coleoptera","Macrodactylus fulvescens",4
"25","AD1_2010__Quintero","AD1_2010__Quintero 1","Lepidoptera","Lepidoptera",1
"26","AD1_2010__Quintero","AD1_2010__Quintero 1","Coleoptera","Coleoptera Melyridae Morfo 11",4
"27","AD1_2010__Quintero","AD1_2010__Quintero 1","Diptera","Acroceridae",2
"28","AD1_2010__Quintero","AD1_2010__Quintero 1","Hymenoptera","Vespula germanica",4
"29","AD1_2011__Bates","AD1_2011__Bates 1","Hymenoptera","Colletes daviesanus",4
"30","AD1_2011__Bates","AD1_2011__Bates 1","Diptera","Baccha elongata",4
"31","AD1_2011b_Hanley","AD1_2011b_Hanley 1","Lepidoptera","Aglais urticae",4
"32","AD1_2011b_Hanley","AD1_2011b_Hanley 1","Coleoptera","Agonum sexpunctatum",4
"33","AD1_2011b_Hanley","AD1_2011b_Hanley 1","Hymenoptera","Andrena cineraria",4
"34","AD1_2011b_Hanley","AD1_2011b_Hanley 1","Hemiptera","Anthocoris nemorum",4
"35","AD1_2011b_Hanley","AD1_2011b_Hanley 1","Diptera","Anthomyiidae pegomya",4
"36","AD1_2011__Blake","AD1_2011__Blake 1","Hymenoptera","Bombus terrestris/lucorum",3
"37","AD1_2011__Blake","AD1_2011__Blake 1","Diptera","Hoverflies total",2
"38","AD1_2011__Blake","AD1_2011__Blake 2","Hymenoptera","Bombus terrestris/lucorum",3
"39","AD1_2011__Blake","AD1_2011__Blake 2","Diptera","Hoverflies total",2
"40","AD1_2011__Power","AD1_2011__Power 1","Hymenoptera","Bombus pascuourum",4
"41","AD1_2011__Power","AD1_2011__Power 1","Diptera","Eristalis sp",4
"42","AD1_2011__Power","AD1_2011__Power 1","Lepidoptera","Pieris rapae",4
"43","AD1_2011__Schuepp","AD1_2011__Schuepp 1","Hymenoptera","Agenioides cinctellus",4
"44","AD1_2011__Schuepp","AD1_2011__Schuepp 1","Diptera","cf Anthrax anthrax",4
"45","AD1_2011__Schuepp","AD1_2011__Schuepp 1","Coleoptera","cf Megatoma undata",4
"46","AD1_2011__Weiner","AD1_2011__Weiner 1","Hymenoptera","Abia candens",4
"47","AD1_2011__Weiner","AD1_2011__Weiner 1","Hemiptera","Adelphocoris seticornis",4
"48","AD1_2011__Weiner","AD1_2011__Weiner 1","Diptera","Adia cinerella",4
"49","AD1_2011__Weiner","AD1_2011__Weiner 1","Lepidoptera","Aglais urticae",4
"50","AD1_2011__Weiner","AD1_2011__Weiner 1","Coleoptera","Agrypnus murinus",4
"51","AD1_2013__Grass","AD1_2013__Grass 1","Coleoptera","A1_Cerambycinae",4
"52","AD1_2013__Grass","AD1_2013__Grass 1","Hymenoptera","A100_Eumenidae",4
"53","AD1_2013__Grass","AD1_2013__Grass 1","Lepidoptera","Coeliades keithloa keithloa",4
"54","AD1_2013__Grass","AD1_2013__Grass 1","Diptera","Psilodera fasciata",4
"55","AD2_2017__Novais","AD2_2017__Novais 2","Coleoptera","anobiidae sp1",4
"56","AD2_2017__Novais","AD2_2017__Novais 2","Hemiptera","achilidae sp1",4
"57","AD2_2018__Salles","AD2_2018__Salles 1","Hymenoptera","acanthosticus sp.",4
"58","AD2_2018__Salles","AD2_2018__Salles 1","Coleoptera","Coleoptera",1
"59","AD2_2018__Salles","AD2_2018__Salles 1","Hemiptera","Hemiptera",1
"60","AD2_2018__Salles","AD2_2018__Salles 1","Diptera","Diptera",1
"61","AD2_2018__Salles","AD2_2018__Salles 2","Hymenoptera","solenopsis sp.",4
"62","AD2_2018__Salles","AD2_2018__Salles 2","Coleoptera","Coleoptera",1
"63","AD2_2018__Salles","AD2_2018__Salles 2","Hemiptera","Hemiptera",1
"64","AD2_2018__Salles","AD2_2018__Salles 2","Diptera","Diptera",1
"65","AR1_2008__Basset","AR1_2008__Basset 1","Hymenoptera","Afranthidium (Immanthidium) sp.",4
"66","AR1_2008__Basset","AR1_2008__Basset 1","Coleoptera","Agrilus (Agrilus) kraatzi",4
"67","AR1_2008__Basset","AR1_2008__Basset 1","Diptera","Cephalops vinnulus",4
"68","AR1_2008__Basset","AR1_2008__Basset 1","Hemiptera","HEACHI 0",4
"69","AR1_2008__Basset","AR1_2008__Basset 1","Lepidoptera","LEGEOM 0",4
"70","CC1_2005__Barratt","CC1_2005__Barratt 1","Hemiptera","Homoptera",1
"71","CC1_2005__Barratt","CC1_2005__Barratt 1","Coleoptera","Coleoptera",1
"72","CC1_2005__Barratt","CC1_2005__Barratt 1","Diptera","Diptera",1
"73","CC1_2005__Barratt","CC1_2005__Barratt 1","Lepidoptera","Lepidoptera",1
"74","CC1_2005__Barratt","CC1_2005__Barratt 1","Hymenoptera","Formicidae",2
"75","CC1_2005__Barratt","CC1_2005__Barratt 2","Hemiptera","Homoptera",1
"76","CC1_2005__Barratt","CC1_2005__Barratt 2","Coleoptera","Coleoptera",1
"77","CC1_2005__Barratt","CC1_2005__Barratt 2","Diptera","Diptera",1
"78","CC1_2005__Barratt","CC1_2005__Barratt 2","Lepidoptera","Lepidoptera",1
"79","CC1_2005__Barratt","CC1_2005__Barratt 2","Hymenoptera","Formicidae",2
"80","CC1_2008__Schon","CC1_2008__Schon 1","Lepidoptera","Wiseana cervinata",4
"81","CC1_2008__Schon","CC1_2008__Schon 1","Coleoptera","Costelytra zealandica",4
"82","CC1_2008__Schon","CC1_2008__Schon 2","Lepidoptera","Lepidoptera",1
"83","CC1_2008__Schon","CC1_2008__Schon 2","Coleoptera","Coleoptera",1
"84","CC1_2008__Schon","CC1_2008__Schon 2","Diptera","Diptera",1
"85","CC1_2008__Schon","CC1_2008__Schon 2","Hemiptera","Hemiptera",1
"86","CC1_2010__Schon","CC1_2010__Schon 2","Hemiptera","Hemiptera",1
"87","CC1_2010__Schon","CC1_2010__Schon 2","Coleoptera","Coleoptera",1
"88","CC1_2010__Schon","CC1_2010__Schon 2","Diptera","Diptera",1
"89","CC1_2010__Schon","CC1_2010__Schon 2","Hymenoptera","Hymenoptera-Formicidae",2
"90","CC1_2012__Waite","CC1_2012__Waite 1","Hymenoptera","hymenoptera",1
"91","CC1_2012__Waite","CC1_2012__Waite 1","Hemiptera","hemiptera",1
"92","CC1_2012__Waite","CC1_2012__Waite 1","Diptera","diptera",1
"93","CC1_2012__Waite","CC1_2012__Waite 1","Coleoptera","coleoptera larvae",1
"94","CC1_2012__Waite","CC1_2012__Waite 2","Hymenoptera","hymenoptera",1
"95","CC1_2012__Waite","CC1_2012__Waite 2","Hemiptera","hemiptera",1
"96","CC1_2012__Waite","CC1_2012__Waite 2","Diptera","diptera",1
"97","CC1_2012__Waite","CC1_2012__Waite 2","Coleoptera","coleoptera larvae",1
"98","CC1_2012__Waite","CC1_2012__Waite 2","Lepidoptera","lepidoptera",1
"99","CC1_2012__Waite","CC1_2012__Waite 3","Hymenoptera","hymenoptera",1
"100","CC1_2012__Waite","CC1_2012__Waite 3","Hemiptera","hemiptera",1
"101","CC1_2012__Waite","CC1_2012__Waite 3","Diptera","diptera",1
"102","CC1_2012__Waite","CC1_2012__Waite 3","Coleoptera","coleoptera larvae",1
"103","CC1_2013__Litchwark","CC1_2013__Litchwark 1","Coleoptera","Adalia_bipunctata",4
"104","CC1_2013__Litchwark","CC1_2013__Litchwark 1","Diptera","Allograpta_spp.",3
"105","CC1_2013__Litchwark","CC1_2013__Litchwark 1","Hymenoptera","Apis_mellifera",4
"106","CC1_2013__Litchwark","CC1_2013__Litchwark 1","Lepidoptera","Lycaena_boulderanum",4
"107","CC1_2014__Rader","CC1_2014__Rader 1","Hymenoptera","Apis mellifera",4
"108","CC1_2014__Rader","CC1_2014__Rader 1","Diptera","Dilophus nigrostigma",4
"109","CC1_2014__Rader","CC1_2014__Rader 1","Coleoptera","Thyreocephalus orthodoxus",4
"110","CM2_2009__SilvaMoco","CM2_2009__SilvaMoco 1","Hymenoptera","Formicidae",2
"111","CM2_2009__SilvaMoco","CM2_2009__SilvaMoco 1","Diptera","Diptera",1
"112","CM2_2009__SilvaMoco","CM2_2009__SilvaMoco 1","Coleoptera","Coleoptera",1
"113","CM2_2009__SilvaMoco","CM2_2009__SilvaMoco 1","Hemiptera","Hemiptera",1
"114","CM2_2009__SilvaMoco","CM2_2009__SilvaMoco 2","Hymenoptera","Formicidae",2
"115","CM2_2009__SilvaMoco","CM2_2009__SilvaMoco 2","Diptera","Diptera",1
"116","CM2_2009__SilvaMoco","CM2_2009__SilvaMoco 2","Coleoptera","Coleoptera",1
"117","CM2_2009__SilvaMoco","CM2_2009__SilvaMoco 2","Hemiptera","Hemiptera",1
"118","DG1_2012__Ge","DG1_2012__Ge 1","Coleoptera","Coleoptera",1
"119","DG1_2012__Ge","DG1_2012__Ge 1","Hymenoptera","Hymenoptera",1
"120","DG1_2012__Ge","DG1_2012__Ge 1","Lepidoptera","Lepidoptera",1
"121","DG1_2012__Ge","DG1_2012__Ge 1","Hemiptera","Hemiptera",1
"122","DG1_2012__Ge","DG1_2012__Ge 1","Diptera","Diptera",1
"123","DI1_2012__Muchane","DI1_2012__Muchane 1","Coleoptera","Carabidae A",4
"124","DI1_2012__Muchane","DI1_2012__Muchane 1","Diptera","Diptera A",4
"125","DI1_2012__Muchane","DI1_2012__Muchane 1","Hymenoptera","Dorylus sp.1",4
"126","DI1_2012__Muchane","DI1_2012__Muchane 1","Lepidoptera","Noctuidae A",4
"127","DI1_2013__Rousseau","DI1_2013__Rousseau 1","Hymenoptera","Camponotus_sp1",4
"128","DI1_2013__Rousseau","DI1_2013__Rousseau 1","Coleoptera","Pupa_Coleoptera",1
"129","DI1_2013__Rousseau","DI1_2013__Rousseau 1","Lepidoptera","Syntomeida_epilais",4
"130","DI1_2013__Rousseau","DI1_2013__Rousseau 1","Hemiptera","Nymphe_Cicadidae",2
"131","DI1_2013__Rousseau","DI1_2013__Rousseau 1","Diptera","Larve_Diptera",1
"132","DI1_2013__Rousseau","DI1_2013__Rousseau 2","Hymenoptera","Camponotus_sp1",4
"133","DI1_2013__Rousseau","DI1_2013__Rousseau 2","Coleoptera","Larva_Elateridae",2
"134","DI1_2013__Rousseau","DI1_2013__Rousseau 2","Lepidoptera","Larve_Geometridae",2
"135","DI1_2013__Rousseau","DI1_2013__Rousseau 2","Hemiptera","Rophalisiophum_sp",4
"136","DI1_2013__Rousseau","DI1_2013__Rousseau 2","Diptera","Larve_Diptera",1
"137","GP1_2009__Vasconcelos","GP1_2009__Vasconcelos 2","Coleoptera","Coleoptera",1
"138","GP1_2009__Vasconcelos","GP1_2009__Vasconcelos 2","Hymenoptera","Formicidae",2
"139","GP1_2009__Vasconcelos","GP1_2009__Vasconcelos 2","Hemiptera","Hemiptera",1
"140","GP1_2009__Vasconcelos","GP1_2009__Vasconcelos 2","Diptera","Diptera",1
"141","HP1_2006__Lachat","HP1_2006__Lachat 1","Coleoptera","ano2",4
"142","HP1_2006__Lachat","HP1_2006__Lachat 1","Hemiptera","Aly1",4
"143","HW1_2011__Summerville","HW1_2011__Summerville 1","Lepidoptera","Abagrotis alternata",4
"144","HW1_2011__Summerville","HW1_2011__Summerville 1","Coleoptera","Pyrochroa dimidata",4
"145","KS1_2006__Borges","KS1_2006__Borges 1","Lepidoptera","Gen. sp.1-MF1",4
"146","KS1_2006__Borges","KS1_2006__Borges 1","Coleoptera","Paranchus albipes",4
"147","KS1_2006__Borges","KS1_2006__Borges 1","Hemiptera","Aphrodes hamiltoni",4
"148","LC1_2014__Ge","LC1_2014__Ge 1","Diptera","Diptera",1
"149","LC1_2014__Ge","LC1_2014__Ge 1","Hemiptera","Hemiptera",1
"150","LC1_2014__Ge","LC1_2014__Ge 1","Coleoptera","Coleoptera",1
"151","LC1_2014__Ge","LC1_2014__Ge 1","Lepidoptera","Lepidoptera",1
"152","LC1_2014__Ge","LC1_2014__Ge 1","Hymenoptera","Hymenoptera",1
"153","LC1_2015__Su","LC1_2015__Su 1","Coleoptera","beetlesp1",4
"154","LC1_2015__Su","LC1_2015__Su 1","Diptera","Call",1
"155","LC1_2015__Su","LC1_2015__Su 1","Hemiptera","Anth",1
"156","LC1_2015__Su","LC1_2015__Su 1","Hymenoptera","Brac",1
"157","LC1_2015__Su","LC1_2015__Su 1","Lepidoptera","moth",1
"158","LC1_2015__Yang","LC1_2015__Yang 1","Hymenoptera","Hymenoptera",1
"159","LC1_2015__Yang","LC1_2015__Yang 1","Coleoptera","Coleoptera",1
"160","LC1_2015__Yang","LC1_2015__Yang 1","Diptera","Diptera larva",1
"161","LC1_2015__Yang","LC1_2015__Yang 1","Lepidoptera","Lepidoptera larvae",1
"162","LC1_2018__Guo","LC1_2018__Guo 1","Hymenoptera","蚁科 Formicidae",2
"163","LC1_2018__Guo","LC1_2018__Guo 1","Hemiptera","叶蝉科",2
"164","LC1_2019__Luan","LC1_2019__Luan 1","Hymenoptera","Hymenoptera",1
"165","LC1_2019__Luan","LC1_2019__Luan 1","Lepidoptera","Lepidoptera",1
"166","LC1_2019__Luan","LC1_2019__Luan 1","Hemiptera","Homoptera",1
"167","LC1_2020__Huang","LC1_2020__Huang 1","Hemiptera","Homoptera",1
"168","LC1_2020__Huang","LC1_2020__Huang 1","Coleoptera","Coleoptera",1
"169","LC1_2020__Huang","LC1_2020__Huang 1","Diptera","Diptera",1
"170","LC1_2020__Huang","LC1_2020__Huang 1","Lepidoptera","Lepidoptera",1
