"","Source_ID","SS","Order","Taxon_name_entered","PrecisionScore"
"171","LC1_2020__Huang","LC1_2020__Huang 1","Hymenoptera","Hymenoptera",1
"172","LC1_2020__Ma","LC1_2020__Ma 1","Diptera","Diptera",1
"173","LC1_2020__Ma","LC1_2020__Ma 1","Hymenoptera","Hymenoptera",1
"174","LC1_2020__Ma","LC1_2020__Ma 1","Lepidoptera","Lepidoptera",1
"175","LC1_2020__Ma","LC1_2020__Ma 1","Coleoptera","Coleoptera",1
"176","LC1_2020__Ma","LC1_2020__Ma 1","Hemiptera","Hemiptera",1
"177","LC1_2020__Zhang","LC1_2020__Zhang 1","Coleoptera","Carabidae",2
"178","LC1_2020__Zhang","LC1_2020__Zhang 1","Hemiptera","Enicocephalidae",2
"179","LC1_2020__Zhang","LC1_2020__Zhang 1","Hymenoptera","Formicidae",2
"180","LC1_2020__Zhang","LC1_2020__Zhang 1","Lepidoptera","Lasiocampidae",2
"181","LC1_2020__Zhang","LC1_2020__Zhang 1","Diptera","Mycetophilidae",2
"182","LC1_2020__Zheng","LC1_2020__Zheng 1","Coleoptera","Carabidae",2
"183","LC1_2020__Zheng","LC1_2020__Zheng 1","Diptera","Anthomyiidae",2
"184","LC1_2020__Zheng","LC1_2020__Zheng 1","Lepidoptera","Pyralididae",2
"185","LC1_2020__Zheng","LC1_2020__Zheng 1","Hymenoptera","Tenthredinidae",2
"186","LC1_2021__Ge","LC1_2021__Ge 1","Diptera","Muscidae",2
"187","LC1_2021__Ge","LC1_2021__Ge 1","Lepidoptera","Noctuidae",2
"188","LC1_2021__Ge","LC1_2021__Ge 1","Coleoptera","Staphylinidae",2
"189","LC1_2021__Ge","LC1_2021__Ge 1","Hemiptera","Pentatomidae",2
"190","LC1_2021__Ge","LC1_2021__Ge 1","Hymenoptera","Formicidae",2
"191","LC1_2021__Zang","LC1_2021__Zang 1","Coleoptera","Carapaceae",2
"192","LC1_2021__Zang","LC1_2021__Zang 1","Lepidoptera","Pyralidae",2
"193","LC1_2021__Zang","LC1_2021__Zang 1","Diptera","Anthomyiidae",2
"194","LC1_2021__Zang","LC1_2021__Zang 1","Hymenoptera","Formicidae",2
"195","LC1_2021__Zang","LC1_2021__Zang 1","Hemiptera","Lygaeoidea",2
"196","LH2_2013__Kambach","LH2_2013__Kambach 2","Lepidoptera","Actinote_pell",4
"197","LH2_2013__Kambach","LH2_2013__Kambach 2","Coleoptera","Epimeces_sp1",4
"198","LH2_2015__Cusser","LH2_2015__Cusser 1","Hymenoptera","Agapostemon angelicus/texanus",4
"199","LH2_2015__Cusser","LH2_2015__Cusser 1","Diptera","Allograpta exotica",4
"200","LH2_2015__Cusser","LH2_2015__Cusser 1","Lepidoptera","Battus philenor",4
"201","MG1_2011__Schon","MG1_2011__Schon 1","Lepidoptera","Wiseana cervinata",4
"202","MG1_2011__Schon","MG1_2011__Schon 1","Coleoptera","Costelytra zealandica",4
"203","MH1_2009__Turner","MH1_2009__Turner 1","Hymenoptera","Formicidae",2
"204","MH1_2009__Turner","MH1_2009__Turner 1","Coleoptera","Coleoptera",1
"205","MH1_2009__Turner","MH1_2009__Turner 1","Hemiptera","Hemiptera",1
"206","MH1_2009__Turner","MH1_2009__Turner 1","Lepidoptera","Lepidoptera",1
"207","MH1_2009__Turner","MH1_2009__Turner 1","Diptera","Diptera",1
"208","SC1_2005__Richardson","SC1_2005__Richardson 1","Lepidoptera","Lepidoptera sp. 1",4
"209","SC1_2005__Richardson","SC1_2005__Richardson 1","Hymenoptera","Dolichodorinae sp. 1",4
"210","SC1_2005__Richardson","SC1_2005__Richardson 1","Diptera","Carnidae sp. 1",4
"211","SC1_2005__Richardson","SC1_2005__Richardson 1","Coleoptera","Anobidae sp. 1",4
"212","SC1_2005__Richardson","SC1_2005__Richardson 1","Hemiptera","Aphidae sp. 1",4
"213","SC1_2011__Meijer","SC1_2011__Meijer 1","Coleoptera","Ocys harpaloides (Audinet-Serville)",4
"214","SC1_2011__Meijer","SC1_2011__Meijer 1","Hemiptera","Cixius azoterceirae Remane & Asche",4
"215","SC1_2011__Meijer","SC1_2011__Meijer 1","Lepidoptera","Lepidoptera Gen. sp.1 MF1",4
"216","SE1_2012__Poveda","SE1_2012__Poveda 1","Diptera","Agromyzidae",2
"217","SE1_2012__Poveda","SE1_2012__Poveda 1","Hemiptera","Aphididae",2
"218","SE1_2012__Poveda","SE1_2012__Poveda 1","Hymenoptera","Apidae",2
"219","SE1_2012__Poveda","SE1_2012__Poveda 1","Coleoptera","Bostrichidae",2
"220","SE1_2012__Poveda","SE1_2012__Poveda 1","Lepidoptera","Gelechiidae66",4
"221","SE1_2012__Poveda","SE1_2012__Poveda 2","Diptera","Agromyzidae",2
"222","SE1_2012__Poveda","SE1_2012__Poveda 2","Hymenoptera","Aphelinidae",2
"223","SE1_2012__Poveda","SE1_2012__Poveda 2","Hemiptera","Aphididae",2
"224","SE1_2012__Poveda","SE1_2012__Poveda 2","Coleoptera","Bostrichidae",2
"225","SE1_2012__Poveda","SE1_2012__Poveda 2","Lepidoptera","Gelechiidae66",4
"226","SE2_2010__Gaigher","SE2_2010__Gaigher 1","Coleoptera","Alticinae sp. 1",4
"227","SE2_2010__Gaigher","SE2_2010__Gaigher 1","Diptera","Anthomyiidae sp. 1",4
"228","SE2_2010__Gaigher","SE2_2010__Gaigher 1","Hemiptera","Alydidae sp. 1",4
"229","SE2_2010__Gaigher","SE2_2010__Gaigher 1","Hymenoptera","Apidae sp. 1",4
"230","SH1_2012__Norfolk","SH1_2012__Norfolk 1","Coleoptera","Acmaeoderella  spp",3
"231","SH1_2012__Norfolk","SH1_2012__Norfolk 1","Hymenoptera","Camponotus adensis",4
"232","SJ2_2016__Fleurance","SJ2_2016__Fleurance 1","Hemiptera","Heteroptera",1
"233","SJ2_2016__Fleurance","SJ2_2016__Fleurance 1","Hymenoptera","Formicidae",2
"234","SJ2_2016__Fleurance","SJ2_2016__Fleurance 1","Coleoptera","Coccinelidae",2
"235","SJ2_2016__Fleurance","SJ2_2016__Fleurance 2","Hemiptera","Homoptera",1
"236","SJ2_2016__Fleurance","SJ2_2016__Fleurance 2","Hymenoptera","Formicidae",2
"237","SJ2_2016__Fleurance","SJ2_2016__Fleurance 2","Diptera","Diptera",1
"238","SJ2_2016__Fleurance","SJ2_2016__Fleurance 2","Coleoptera","Coccinelidae",2
"239","SJ2_2016__Fleurance","SJ2_2016__Fleurance 3","Coleoptera","Coleoptera",1
"240","SJ2_2016__Fleurance","SJ2_2016__Fleurance 3","Diptera","Diptera",1
"241","SJ2_2016__Fleurance","SJ2_2016__Fleurance 3","Hymenoptera","Formicidae",2
"242","SJ2_2016__Fleurance","SJ2_2016__Fleurance 3","Hemiptera","Heteroptera",1
"243","SJ2_2016__Fleurance","SJ2_2016__Fleurance 4","Coleoptera","Coleoptera",1
"244","SJ2_2016__Fleurance","SJ2_2016__Fleurance 4","Diptera","Diptera",1
"245","SJ2_2016__Fleurance","SJ2_2016__Fleurance 4","Hymenoptera","Formicidae",2
"246","SJ2_2016__Fleurance","SJ2_2016__Fleurance 4","Hemiptera","Heteroptera",1
"247","SJ2_2019__Eckert","SJ2_2019__Eckert 1","Coleoptera","Carabidae spp6",4
"248","SJ2_2019__Eckert","SJ2_2019__Eckert 1","Hymenoptera","Formicidae spp1",4
"249","SJ2_2019__Eckert","SJ2_2019__Eckert 1","Hemiptera","Pentatomidae spp1",4
"250","SS1_2011__Lange","SS1_2011__Lange 1","Hemiptera","Homoptera",1
"251","SS1_2011__Lange","SS1_2011__Lange 1","Lepidoptera","Lepidoptera",1
"252","SS1_2011__Lange","SS1_2011__Lange 1","Coleoptera","Coleoptera",1
"253","SS1_2011__Lange","SS1_2011__Lange 1","Hymenoptera","Formicidae",2
"254","SS1_2015__Ponge","SS1_2015__Ponge 1","Coleoptera","Curculionidae (adults)",2
"255","SS1_2015__Ponge","SS1_2015__Ponge 1","Hymenoptera","Formicidae (flyless)",2
"256","SS1_2015__Ponge","SS1_2015__Ponge 1","Hemiptera","Pentatomidae",2
"257","SS1_2015__Ponge","SS1_2015__Ponge 1","Diptera","Chironomidae (larvae)",2
"258","SS1_2015__Ponge","SS1_2015__Ponge 1","Lepidoptera","Lepidoptera incertae sedis (larvae)",4
"259","TN1_2007__Bouyer","TN1_2007__Bouyer 2","Lepidoptera","Anticaria irrorata",4
"260","TN1_2007__Bouyer","TN1_2007__Bouyer 2","Hymenoptera","B3 spp",4
"261","TN1_2007__Bouyer","TN1_2007__Bouyer 2","Coleoptera","B5 lisse rouge spp",4
"262","TN1_2007__Bouyer","TN1_2007__Bouyer 3","Lepidoptera","Anticaria irrorata",4
"263","TN1_2007__Bouyer","TN1_2007__Bouyer 3","Coleoptera","cerambycidae cerambycidae",2
"264","TN1_2007__Bouyer","TN1_2007__Bouyer 3","Hymenoptera","B3 spp",4
"265","TN1_2008__Ngai","TN1_2008__Ngai 1","Diptera","Pericoma sp.",4
"266","TN1_2008__Ngai","TN1_2008__Ngai 1","Coleoptera","Dytiscidae",2
"267","VB1_2005__Eggleton","VB1_2005__Eggleton 1","Coleoptera","Acrotrichis sp.",4
"268","VB1_2005__Eggleton","VB1_2005__Eggleton 1","Hemiptera","Hemiptera",1
"269","VB1_2005__Eggleton","VB1_2005__Eggleton 1","Diptera","Diptera",1
"270","VB1_2005__Eggleton","VB1_2005__Eggleton 1","Hymenoptera","Hymenoptera",1
"271","VB1_2005__Eggleton","VB1_2005__Eggleton 1","Lepidoptera","Lepidoptera",1
"272","VB1_2005__Eggleton","VB1_2005__Eggleton 2","Coleoptera","Acrotrichis sp.",4
"273","VB1_2005__Eggleton","VB1_2005__Eggleton 2","Hemiptera","Hemiptera",1
"274","VB1_2005__Eggleton","VB1_2005__Eggleton 2","Diptera","Diptera",1
"275","VB1_2005__Eggleton","VB1_2005__Eggleton 2","Hymenoptera","Hymenoptera",1
"276","VB1_2005__Eggleton","VB1_2005__Eggleton 2","Lepidoptera","Lepidoptera",1
"277","VB1_2006__Smith","VB1_2006__Smith 1","Coleoptera","Acupalpus dubius",4
"278","VB1_2006__Smith","VB1_2006__Smith 1","Hymenoptera","Formicidae",2
"279","VB1_2006__Smith","VB1_2006__Smith 2","Coleoptera","Acupalpus meridianus",4
"280","VB1_2006__Smith","VB1_2006__Smith 2","Hymenoptera","Formicidae",2
"281","VB1_2008a_Smith","VB1_2008a_Smith 1","Coleoptera","Bradycellus verbasci",4
"282","VB1_2008a_Smith","VB1_2008a_Smith 1","Hymenoptera","Hymenoptera",1
"283","VB1_2008a_Smith","VB1_2008a_Smith 1","Diptera","Diptera",1
"284","VB1_2008a_Smith","VB1_2008a_Smith 1","Hemiptera","Hemiptera",1
"285","VB1_2008a_Smith","VB1_2008a_Smith 1","Lepidoptera","Lepidoptera larvae",1
"286","VB1_2009__Boutin","VB1_2009__Boutin 1","Diptera","Acartophthalmidae",2
"287","VB1_2009__Boutin","VB1_2009__Boutin 1","Hymenoptera","Andrenidae",2
"288","VB1_2009__Boutin","VB1_2009__Boutin 1","Coleoptera","Anthicidae",2
"289","VB1_2009__Boutin","VB1_2009__Boutin 1","Hemiptera","Aphididae",2
"290","VB1_2009__Boutin","VB1_2009__Boutin 1","Lepidoptera","Blastobasidae",2
"291","VB1_2009__Boutin","VB1_2009__Boutin 2","Diptera","Acartophthalmidae",2
"292","VB1_2009__Boutin","VB1_2009__Boutin 2","Hymenoptera","Andrenidae",2
"293","VB1_2009__Boutin","VB1_2009__Boutin 2","Coleoptera","Anthicidae",2
"294","VB1_2009__Boutin","VB1_2009__Boutin 2","Hemiptera","Aphididae",2
"295","VB1_2009__Boutin","VB1_2009__Boutin 2","Lepidoptera","Blastobasidae",2
"296","VB1_2009__Boutin","VB1_2009__Boutin 3","Diptera","Acartophthalmidae",2
"297","VB1_2009__Boutin","VB1_2009__Boutin 3","Hymenoptera","Andrenidae",2
"298","VB1_2009__Boutin","VB1_2009__Boutin 3","Coleoptera","Anthicidae",2
"299","VB1_2009__Boutin","VB1_2009__Boutin 3","Hemiptera","Aphididae",2
"300","VB1_2009__Boutin","VB1_2009__Boutin 3","Lepidoptera","Blastobasidae",2
"301","VB1_2012a_Carpenter","VB1_2012a_Carpenter 1","Coleoptera","Nalassus sp.larvae",4
"302","VB1_2012a_Carpenter","VB1_2012a_Carpenter 1","Diptera","Diptera (non Tipulidae)",2
"303","VB1_2012a_Carpenter","VB1_2012a_Carpenter 1","Hemiptera","Hemiptera",1
"304","VB1_2012a_Carpenter","VB1_2012a_Carpenter 1","Hymenoptera","Formicidae",2
"305","VB1_2012a_Carpenter","VB1_2012a_Carpenter 1","Lepidoptera","Lepidoptera",1
"306","VB1_2012__Carpenter","VB1_2012__Carpenter 1","Coleoptera","Coleoptera Adult",1
"307","VB1_2012__Carpenter","VB1_2012__Carpenter 1","Diptera","Diptera",1
"308","VB1_2012__Carpenter","VB1_2012__Carpenter 1","Hemiptera","Hemiptera",1
"309","VB1_2012__Carpenter","VB1_2012__Carpenter 1","Hymenoptera","Hymenoptera",1
"310","VB1_2012__Carpenter","VB1_2012__Carpenter 1","Lepidoptera","Lepidoptera",1
"311","VB1_2012__Carpenter","VB1_2012__Carpenter 2","Coleoptera","Coleoptera Adult",1
"312","VB1_2012__Carpenter","VB1_2012__Carpenter 2","Diptera","Diptera",1
"313","VB1_2012__Carpenter","VB1_2012__Carpenter 2","Hemiptera","Hemiptera",1
"314","VB1_2012__Carpenter","VB1_2012__Carpenter 2","Hymenoptera","Hymenoptera",1
"315","VB1_2012__Carpenter","VB1_2012__Carpenter 2","Lepidoptera","Lepidoptera",1
"316","VB1_2012__Carpenter","VB1_2012__Carpenter 4","Coleoptera","Coleoptera Adult",1
"317","VB1_2012__Carpenter","VB1_2012__Carpenter 4","Diptera","Diptera",1
"318","VB1_2012__Carpenter","VB1_2012__Carpenter 4","Hemiptera","Hemiptera",1
"319","VB1_2012__Carpenter","VB1_2012__Carpenter 4","Hymenoptera","Hymenoptera",1
"320","VB1_2012__Carpenter","VB1_2012__Carpenter 4","Lepidoptera","Lepidoptera",1
"321","VB1_2012__Carpenter","VB1_2012__Carpenter 6","Coleoptera","Coleoptera Adult",1
"322","VB1_2012__Carpenter","VB1_2012__Carpenter 6","Diptera","Diptera",1
"323","VB1_2012__Carpenter","VB1_2012__Carpenter 6","Hemiptera","Hemiptera",1
"324","VB1_2012__Carpenter","VB1_2012__Carpenter 6","Hymenoptera","Hymenoptera",1
"325","VB1_2012__Carpenter","VB1_2012__Carpenter 6","Lepidoptera","Lepidoptera",1
"326","VB1_2012__LeightonGoodall","VB1_2012__LeightonGoodall 1","Coleoptera","Sphaerosoma pilosum",4
"327","VB1_2012__LeightonGoodall","VB1_2012__LeightonGoodall 1","Hymenoptera","Lasius brunneus",4
"328","VB1_2013__Burton","VB1_2013__Burton 2","Coleoptera","Quedius curtipennis",4
"329","VB1_2013__Burton","VB1_2013__Burton 2","Hymenoptera","Myrmica ruginodis",4
"330","VB1_2013__Burton","VB1_2013__Burton 2","Diptera","Diptera",1
"331","VB1_2013__Burton","VB1_2013__Burton 2","Hemiptera","Hemiptera",1
"332","VB1_2013__Burton","VB1_2013__Burton 2","Lepidoptera","Lepidoptera",1
"333","VB1_2015__Burton","VB1_2015__Burton 1","Coleoptera","Coleoptera larvae",1
"334","VB1_2015__Burton","VB1_2015__Burton 1","Diptera","Diptera larvae",1
"335","VB1_2015__Mumme","VB1_2015__Mumme 1","Coleoptera","CtaAno01",4
"336","VB1_2015__Mumme","VB1_2015__Mumme 1","Diptera","DptAgr01",4
"337","VB1_2015__Mumme","VB1_2015__Mumme 1","Hemiptera","HemAcn01",4
"338","VB1_2015__Mumme","VB1_2015__Mumme 1","Hymenoptera","HymBet01",4
"339","VB1_2015__Mumme","VB1_2015__Mumme 1","Lepidoptera","LepAlu01",4
